SECUCODE,SECURITY_CODE,ORG_CODE,END_DATE,HOLDER_NAME,HOLD_NUM,FREE_HOLDNUM_RATIO,HOLD_NUM_CHANGE,CHANGE_RATIO,IS_HOLDORG,HOLDER_RANK,SECURITY_NAME_ABBR,HOLDER_CODE,SECURITY_TYPE_CODE,HOLDER_STATE,HOLDER_MARKET_CAP,HOLD_RATIO,HOLD_CHANGE,HOLD_RATIO_CHANGE,HOLDER_TYPE,SHARES_TYPE,UPDATE_DATE,REPORT_DATE_NAME,HOLDER_NEW,FREE_RATIO_QOQ,HOLDER_STATEE,IS_REPORT,HOLDER_CODE_OLD,HOLDER_NEWTYPE,HOLDNUM_CHANGE_NAME,IS_MAX_REPORTDATE,COOPERATION_HOLDER_MARK,MXID,LISTING_STATE,XZCHANGE,NEW_CHANGE_RATIO,HOLDER_STATE_NEW,HOLD_ORG_CODE_SOURCE,HOLD_CHANGE_RATIOTB,HOLD_NUM_ABBR
688525.SH,688525,10000140946,2026-03-31 00:00:00,孙成思,83657800,17.767900892859,1350000,1.64018477,0,1,佰维存储,,058001001,加仓,17734617022.0,17.7679,1350000,0.0791,个人,A股,2026-04-16 00:00:00,2026一季报,孙成思,0.44695555,加仓,1,,个人,增加,1,孙成思,cc9902677a27792cfcd4956015caac08,0,1350000.0,1.64018477,加仓,,,孙成思
688525.SH,688525,10000140946,2026-03-31 00:00:00,华芯投资管理有限责任公司-国家集成电路产业投资基金二期股份有限公司,25731779,5.465117407689,-6507617,-20.18529441,1,2,佰维存储,78136799,058001001,,5454879830.21,5.4651,-6507617,-1.4635,私募基金,A股,2026-04-16 00:00:00,2026一季报,78136799,-21.12229821,减仓,1,78136799,其他,减少,1,78136799,cc9902677a27792cfcd4956015caac08,0,-6507617.0,-20.18529441,减仓,,-3.0882,华芯投资管理有限责任公司-国家集成电路产业投资基金二期股份有限公司
688525.SH,688525,10000140946,2026-03-31 00:00:00,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,11297366,2.399423358472,-1443344,-11.32859943,1,3,佰维存储,588000,058001001,,2394928618.34,2.3994,-1443344,-0.3387,证券投资基金,A股,2026-04-16 00:00:00,2026一季报,588000,-12.36957851,减仓,1,588000,基金,减少,1,588000,cc9902677a27792cfcd4956015caac08,0,-1443344.0,-11.32859943,减仓,,-1.5585,华夏上证科创板50成份ETF
688525.SH,688525,10000140946,2026-03-31 00:00:00,佰泰(深圳)企业管理咨询合伙企业(有限合伙),8000000,1.699102858823,不变,,1,4,佰维存储,10000314179,058001001,,1695920000.0,1.6991,不变,-0.0202,其它,A股,2026-04-16 00:00:00,2026一季报,10000314179,-1.17397388,,1,81293355,其他,不变,1,10000314179,cc9902677a27792cfcd4956015caac08,0,0.0,不变,不变,67103757-55f8-4b47-a93a-d41c3e0fd5b2,,佰泰(深圳)企业管理咨询合伙企业(有限合伙)
688525.SH,688525,10000140946,2026-03-31 00:00:00,香港中央结算有限公司,7182911,1.525563076847,新进,,1,5,佰维存储,10671586,058001001,新进,1522705302.89,1.5256,新进,,其它,A股,2026-04-16 00:00:00,2026一季报,10671586,新进,新进,1,80637337,其他,新进,1,10671586,cc9902677a27792cfcd4956015caac08,0,,新进,新进,08a32aee-be17-11e6-b97b-00163e014a2c,,香港中央结算有限公司
688525.SH,688525,10000140946,2026-03-31 00:00:00,中信银行股份有限公司-永赢先锋半导体智选混合型发起式证券投资基金,7000000,1.48671500147,-1800000,-20.45454545,1,6,佰维存储,025208,058001001,,1483930000.0,1.4867,-1800000,-0.4045,证券投资基金,A股,2026-04-16 00:00:00,2026一季报,025208,-21.38838831,减仓,1,025208,基金,减少,1,025208,cc9902677a27792cfcd4956015caac08,0,-1800000.0,-20.45454545,减仓,,,永赢先锋半导体智选混合发起A
688525.SH,688525,10000140946,2026-03-31 00:00:00,中信证券股份有限公司-嘉实上证科创板芯片交易型开放式指数证券投资基金,6857195,1.456384953501,-569644,-7.67007336,1,7,佰维存储,588200,058001001,,1453656768.05,1.4564,-569644,-0.1397,证券投资基金,A股,2026-04-16 00:00:00,2026一季报,588200,-8.75400259,减仓,1,588200,基金,减少,1,588200,cc9902677a27792cfcd4956015caac08,0,-569644.0,-7.67007336,减仓,,-0.0534,嘉实上证科创板芯片ETF
688525.SH,688525,10000140946,2026-03-31 00:00:00,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,6157372,1.307751046005,-5754532,-48.30908644,1,8,佰维存储,588080,058001001,,1305301290.28,1.3078,-5754532,-1.2522,证券投资基金,A股,2026-04-16 00:00:00,2026一季报,588080,-48.91592426,减仓,1,588080,基金,减少,1,588080,cc9902677a27792cfcd4956015caac08,0,-5754532.0,-48.30908644,减仓,,-1.5087,易方达上证科创板50ETF
688525.SH,688525,10000140946,2026-03-31 00:00:00,徐健峰,6042000,1.283247434126,不变,,0,9,佰维存储,,058001001,,1280843580.0,1.2832,不变,-0.0153,个人,A股,2026-04-16 00:00:00,2026一季报,徐健峰,-1.17397388,,1,,个人,不变,1,徐健峰,cc9902677a27792cfcd4956015caac08,0,0.0,不变,不变,,,徐健峰
688525.SH,688525,10000140946,2026-03-31 00:00:00,深圳方泰来企业管理合伙企业(有限合伙),5200000,1.104416858235,新进,,1,10,佰维存储,10000314168,058001001,新进,1102348000.0,1.1044,新进,,其它,A股,2026-04-16 00:00:00,2026一季报,10000314168,新进,新进,1,81293344,其他,新进,1,10000314168,cc9902677a27792cfcd4956015caac08,0,,新进,新进,6661c3f3-eefb-4ced-af39-45fe5779367a,,深圳方泰来企业管理合伙企业(有限合伙)
