SECUCODE,SECURITY_CODE,ORG_CODE,END_DATE,HOLDER_NAME,HOLD_NUM,FREE_HOLDNUM_RATIO,HOLD_NUM_CHANGE,CHANGE_RATIO,IS_HOLDORG,HOLDER_RANK,SECURITY_NAME_ABBR,HOLDER_CODE,SECURITY_TYPE_CODE,HOLDER_STATE,HOLDER_MARKET_CAP,HOLD_RATIO,HOLD_CHANGE,HOLD_RATIO_CHANGE,HOLDER_TYPE,SHARES_TYPE,UPDATE_DATE,REPORT_DATE_NAME,HOLDER_NEW,FREE_RATIO_QOQ,HOLDER_STATEE,IS_REPORT,HOLDER_CODE_OLD,HOLDER_NEWTYPE,HOLDNUM_CHANGE_NAME,IS_MAX_REPORTDATE,COOPERATION_HOLDER_MARK,MXID,LISTING_STATE,XZCHANGE,NEW_CHANGE_RATIO,HOLDER_STATE_NEW,HOLD_ORG_CODE_SOURCE,HOLD_CHANGE_RATIOTB,HOLD_NUM_ABBR
688256.SH,688256,10000077576,2026-03-31 00:00:00,陈天石,119530650,28.571910122845,不变,,0,1,寒武纪,,058001001,,117498628950.0,28.3459,不变,0.0,个人,A股,2026-04-30 00:00:00,2026一季报,陈天石,不变,,1,,个人,不变,1,陈天石,9a3d5a2b0e7211e2611fc16e03ae4d57,0,0.0,不变,不变,,-0.2872,陈天石
688256.SH,688256,10000077576,2026-03-31 00:00:00,北京中科算源资产管理有限公司,65669721,15.697307478913,不变,,1,2,寒武纪,10400497,058001001,,64553335743.0,15.5732,不变,0.0,其它,A股,2026-04-30 00:00:00,2026一季报,10400497,不变,,1,80373504,其他,不变,1,10400497,9a3d5a2b0e7211e2611fc16e03ae4d57,0,0.0,不变,不变,03fb51bc-6881-4ebe-8472-55f4de785ccf,-0.1577,北京中科算源资产管理有限公司
688256.SH,688256,10000077576,2026-03-31 00:00:00,北京艾溪科技中心(有限合伙),30645870,7.325410204633,不变,,1,3,寒武纪,10000081140,058001001,,30124890210.0,7.2675,不变,0.0,其它,A股,2026-04-30 00:00:00,2026一季报,10000081140,不变,,1,81060315,其他,不变,1,10000081140,9a3d5a2b0e7211e2611fc16e03ae4d57,0,0.0,不变,不变,ca251f13-9d89-463d-9e5b-2e68a24c7abf,-0.0736,北京艾溪科技中心(有限合伙)
688256.SH,688256,10000077576,2026-03-31 00:00:00,香港中央结算有限公司,10737708,2.566679156362,-2425973,-18.42929041,1,4,寒武纪,10671586,058001001,,10555166964.0,2.5464,-2425973,-0.5753,其它,A股,2026-04-30 00:00:00,2026一季报,10671586,-18.42929041,减仓,1,80637337,其他,减少,1,10671586,9a3d5a2b0e7211e2611fc16e03ae4d57,0,-2425973.0,-18.42929041,减仓,08a32aee-be17-11e6-b97b-00163e014a2c,-1.1487,香港中央结算有限公司
688256.SH,688256,10000077576,2026-03-31 00:00:00,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,6527594,1.560318036306,1176395,21.98376476,1,5,寒武纪,588000,058001001,加仓,6416624902.0,1.548,1176395,0.279,证券投资基金,A股,2026-04-30 00:00:00,2026一季报,588000,21.98376476,加仓,1,588000,基金,增加,1,588000,9a3d5a2b0e7211e2611fc16e03ae4d57,0,1176395.0,21.98376476,加仓,,-1.1315,华夏上证科创板50成份ETF
688256.SH,688256,10000077576,2026-03-31 00:00:00,北京艾加溪科技中心(有限合伙),4784098,1.14356291106,-60500,-1.24881363,1,6,寒武纪,10000081143,058001001,,4702768334.0,1.1345,-60500,-0.0144,其它,A股,2026-04-30 00:00:00,2026一季报,10000081143,-1.24881363,减仓,1,81060318,其他,减少,1,10000081143,9a3d5a2b0e7211e2611fc16e03ae4d57,0,-60500.0,-1.24881363,减仓,39982fb9-69ba-4270-a211-9ca1d6bdc04c,-0.1561,北京艾加溪科技中心(有限合伙)
688256.SH,688256,10000077576,2026-03-31 00:00:00,中信证券股份有限公司-嘉实上证科创板芯片交易型开放式指数证券投资基金,3755189,0.897618498706,新进,,1,7,寒武纪,588200,058001001,新进,3691350787.0,0.8905,新进,,证券投资基金,A股,2026-04-30 00:00:00,2026一季报,588200,新进,新进,1,588200,基金,新进,1,588200,9a3d5a2b0e7211e2611fc16e03ae4d57,0,,新进,新进,,,嘉实上证科创板芯片ETF
688256.SH,688256,10000077576,2026-03-31 00:00:00,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,3539280,0.846008869353,-1430960,-28.79056142,1,8,寒武纪,588080,058001001,,3479112240.0,0.8393,-1430960,-0.3394,证券投资基金,A股,2026-04-30 00:00:00,2026一季报,588080,-28.79056142,减仓,1,588080,基金,减少,1,588080,9a3d5a2b0e7211e2611fc16e03ae4d57,0,-1430960.0,-28.79056142,减仓,,-1.0546,易方达上证科创板50ETF
688256.SH,688256,10000077576,2026-03-31 00:00:00,张炜,3106340,0.742521414307,新进,,0,9,寒武纪,,058001001,新进,3053532220.0,0.7366,新进,,个人,A股,2026-04-30 00:00:00,2026一季报,张炜,新进,新进,1,,个人,新进,1,张炜,9a3d5a2b0e7211e2611fc16e03ae4d57,0,,新进,新进,,,张炜
688256.SH,688256,10000077576,2026-03-31 00:00:00,张威,2025598,0.484187143641,新进,,0,10,寒武纪,,058001001,新进,1991162834.0,0.4804,新进,,个人,A股,2026-04-30 00:00:00,2026一季报,张威,新进,新进,1,,个人,新进,1,张威,9a3d5a2b0e7211e2611fc16e03ae4d57,0,,新进,新进,,,张威
688256.SH,688256,10000077576,2025-12-31 00:00:00,陈天石,119530650,28.571910122845,不变,,0,1,寒武纪,,058001001,,162029772607.5,28.3459,不变,-0.226,个人,A股,2026-03-13 00:00:00,2025年报,陈天石,不变,,1,,个人,不变,0,陈天石,888840c0c1ab4b87b37933166cc67824,0,0.0,不变,不变,,-0.2872,陈天石
688256.SH,688256,10000077576,2025-12-31 00:00:00,北京中科算源资产管理有限公司,65669721,15.697307478913,不变,,1,2,寒武纪,10400497,058001001,,89018590301.55,15.5732,不变,-0.1241,其它,A股,2026-03-13 00:00:00,2025年报,10400497,不变,,1,80373504,其他,不变,0,10400497,888840c0c1ab4b87b37933166cc67824,0,0.0,不变,不变,03fb51bc-6881-4ebe-8472-55f4de785ccf,-0.1577,北京中科算源资产管理有限公司
688256.SH,688256,10000077576,2025-12-31 00:00:00,北京艾溪科技中心(有限合伙),30645870,7.325410204633,不变,,1,3,寒武纪,10000081140,058001001,,41542009078.5,7.2675,不变,-0.0579,其它,A股,2026-03-13 00:00:00,2025年报,10000081140,不变,,1,81060315,其他,不变,0,10000081140,888840c0c1ab4b87b37933166cc67824,0,0.0,不变,不变,ca251f13-9d89-463d-9e5b-2e68a24c7abf,-0.0736,北京艾溪科技中心(有限合伙)
688256.SH,688256,10000077576,2025-12-31 00:00:00,香港中央结算有限公司,13163681,3.146569607191,1160222,9.66573052,1,4,寒武纪,10671586,058001001,加仓,17844027779.55,3.1217,1160222,0.2525,其它,A股,2026-03-13 00:00:00,2025年报,10671586,9.66573052,加仓,1,80637337,其他,增加,0,10671586,888840c0c1ab4b87b37933166cc67824,0,1160222.0,9.66573052,加仓,08a32aee-be17-11e6-b97b-00163e014a2c,0.6537,香港中央结算有限公司
688256.SH,688256,10000077576,2025-12-31 00:00:00,章建平,6814868,1.628986339446,408362,6.3741765,0,5,寒武纪,,058001001,加仓,9237894317.4,1.6161,408362,0.0847,个人,A股,2026-03-13 00:00:00,2025年报,章建平,6.3741765,加仓,1,,个人,增加,0,章建平,888840c0c1ab4b87b37933166cc67824,0,408362.0,6.3741765,加仓,,0.3372,章建平
688256.SH,688256,10000077576,2025-12-31 00:00:00,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,5351199,1.279119429849,52329,0.98755018,1,6,寒武纪,588000,058001001,加仓,7253817804.45,1.269,52329,0.0024,证券投资基金,A股,2026-03-13 00:00:00,2025年报,588000,0.98755018,加仓,1,588000,基金,增加,0,588000,888840c0c1ab4b87b37933166cc67824,0,52329.0,0.98755018,加仓,,-2.005,华夏上证科创板50成份ETF
688256.SH,688256,10000077576,2025-12-31 00:00:00,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,4970240,1.188057210171,-435382,-8.05424427,1,7,寒武纪,588080,058001001,,6737408832.0,1.1787,-435382,-0.1134,证券投资基金,A股,2026-03-13 00:00:00,2025年报,588080,-8.05424427,减仓,1,588080,基金,减少,0,588080,888840c0c1ab4b87b37933166cc67824,0,-435382.0,-8.05424427,减仓,,-0.9132,易方达上证科创板50ETF
688256.SH,688256,10000077576,2025-12-31 00:00:00,北京艾加溪科技中心(有限合伙),4844598,1.158024478553,-256738,-5.03276005,1,8,寒武纪,10000081143,058001001,,6567094818.9,1.1489,-256738,-0.0705,其它,A股,2026-03-13 00:00:00,2025年报,10000081143,-5.03276005,减仓,1,81060318,其他,减少,0,10000081143,888840c0c1ab4b87b37933166cc67824,0,-256738.0,-5.03276005,减仓,39982fb9-69ba-4270-a211-9ca1d6bdc04c,-0.1673,北京艾加溪科技中心(有限合伙)
688256.SH,688256,10000077576,2025-12-31 00:00:00,中国工商银行-上证50交易型开放式指数证券投资基金,3868321,0.924660912815,-105022,-2.64316471,1,9,寒武纪,510050,058001001,,5243702531.55,0.9173,-105022,-0.0325,证券投资基金,A股,2026-03-13 00:00:00,2025年报,510050,-2.64316471,减仓,1,510050,基金,减少,0,510050,888840c0c1ab4b87b37933166cc67824,0,-105022.0,-2.64316471,减仓,,-0.0275,华夏上证50ETF
688256.SH,688256,10000077576,2025-12-31 00:00:00,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,3512420,0.839588411455,-242672,-6.46247815,1,10,寒武纪,510300,058001001,,4761260931.0,0.8329,-242672,-0.0647,证券投资基金,A股,2026-03-13 00:00:00,2025年报,510300,-6.46247815,减仓,1,510300,基金,减少,0,510300,888840c0c1ab4b87b37933166cc67824,0,-242672.0,-6.46247815,减仓,,,华泰柏瑞沪深300ETF
688256.SH,688256,10000077576,2025-09-30 00:00:00,陈天石,119530650,28.571910122845,不变,,0,1,寒武纪,,058001001,,158378111250.0,28.5719,不变,0.0019,个人,A股,2025-10-18 00:00:00,2025三季报,陈天石,-0.2135701,,1,,个人,不变,0,陈天石,fb61cb3bb32c43fd207623777b980eb9,0,0.0,不变,不变,,-0.0612,陈天石
688256.SH,688256,10000077576,2025-09-30 00:00:00,北京中科算源资产管理有限公司,65669721,15.697307478913,不变,,1,2,寒武纪,10400497,058001001,,87012380325.0,15.6973,不变,-0.0027,其它,A股,2025-10-18 00:00:00,2025三季报,10400497,-0.2135701,,1,80373504,其他,不变,0,10400497,fb61cb3bb32c43fd207623777b980eb9,0,0.0,不变,不变,03fb51bc-6881-4ebe-8472-55f4de785ccf,-0.0336,北京中科算源资产管理有限公司
688256.SH,688256,10000077576,2025-09-30 00:00:00,北京艾溪科技中心(有限合伙),30645870,7.325410204633,不变,,1,3,寒武纪,10000081140,058001001,,40605777750.0,7.3254,不变,-0.0157,其它,A股,2025-10-18 00:00:00,2025三季报,10000081140,-0.2135701,,1,81060315,其他,不变,0,10000081140,fb61cb3bb32c43fd207623777b980eb9,0,0.0,不变,不变,ca251f13-9d89-463d-9e5b-2e68a24c7abf,-0.0157,北京艾溪科技中心(有限合伙)
688256.SH,688256,10000077576,2025-09-30 00:00:00,香港中央结算有限公司,12003459,2.869236900421,-3700496,-23.56410216,1,4,寒武纪,10671586,058001001,,15904583175.0,2.8692,-3700496,-0.8926,其它,A股,2025-10-18 00:00:00,2025三季报,10671586,-23.72734639,减仓,1,80637337,其他,减少,0,10671586,fb61cb3bb32c43fd207623777b980eb9,0,-3700496.0,-23.56410216,减仓,08a32aee-be17-11e6-b97b-00163e014a2c,0.4029,香港中央结算有限公司
688256.SH,688256,10000077576,2025-09-30 00:00:00,章建平,6406506,1.531373866314,320234,5.26157884,0,5,寒武纪,,058001001,加仓,8488620450.0,1.5314,320234,0.0735,个人,A股,2025-10-18 00:00:00,2025三季报,章建平,5.03677158,加仓,1,,个人,增加,0,章建平,fb61cb3bb32c43fd207623777b980eb9,0,320234.0,5.26157884,加仓,,,章建平
688256.SH,688256,10000077576,2025-09-30 00:00:00,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,5405622,1.29212838667,-3237780,-37.45955586,1,6,寒武纪,588080,058001001,,7162449150.0,1.2921,-3237780,-0.7784,证券投资基金,A股,2025-10-18 00:00:00,2025三季报,588080,-37.59312355,减仓,1,588080,基金,减少,0,588080,fb61cb3bb32c43fd207623777b980eb9,0,-3237780.0,-37.45955586,减仓,,-1.0345,易方达上证科创板50ETF
688256.SH,688256,10000077576,2025-09-30 00:00:00,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,5298870,1.266611010587,-6076707,-53.41889031,1,7,寒武纪,588000,058001001,,7021002750.0,1.2666,-6076707,-1.4584,证券投资基金,A股,2025-10-18 00:00:00,2025三季报,588000,-53.51837364,减仓,1,588000,基金,减少,0,588000,fb61cb3bb32c43fd207623777b980eb9,0,-6076707.0,-53.41889031,减仓,,-2.5995,华夏上证科创板50成份ETF
